INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Me siento muy esperanzado por el cambio de la constitución];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el cambio constitucional es necesario para avanzar en materia de derechos y justicia social];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el acuerdo para el cambio constitucional fue justo y transparente];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Confío en que una nueva constitución nos hará un mejor país a la larga];"ANTE LA PREGUNTA ""¿QUIERE USTED UNA NUEVA CONSTITUCIÓN?"" USTED...";"ANTE LA PREGUNTA ""¿QUÉ TIPO DE ÓRGANO DEBIERA REDACTAR LA NUEVA CONSTITUCIÓN?"" USTED...";GENERO;REGIÓN DONDE VIVES;COMUNA ;EDAD;SI TUVIERAS QUE POSICIONAR TU NIVEL SOCIOECONÓMICO DIRÍAS QUE ES...;LA MEJOR FORMA DE ORGANIZACIÓN POLÍTICA ES CON UNA ORGÁNICA DE TIPO;"RESPECTO A ""LA REALIDAD"" COMO TAL, PODEMOS DECIR QUE";LA MEJOR FORMA DE ORGANIZACIÓN ECONÓMICA ES CON UN MERCADO;SI TUVIERA QUE AUTOPOSICIONARSE IDEOLÓGICAMENTE DIRÍA QUE USTED ES DE;¿CUANTOS AÑOS DE EDUCACIÓN FORMAL ACUMULA HASTA ÉSTE MOMENTO? (sumando educación básica, media, técnica, universitaria, y postgrados). 
De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;V Región de Valparaíso;Viña del mar;37;3;3;7;8;2;18
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Peñalolen;25;1;3;7;6;4;18
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Trans/No binario;VIII Región del Biobío;Concepción ;20;3;1;3;4;3;13
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente alto;21;1;1;1;1;1;14
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;ñuñoa;28;3;4;5;8;4;21
De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;X Región de Los Lagos;Fresia ;25;2;1;5;8;3;18
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pintana;27;1;1;6;6;5;21
En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;26;4;7;10;4;4;19
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pudahuel;16;3;4;3;7;4;11
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Quilicura ;20;2;5;4;10;1;14
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;27;3;3;4;8;4;17
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Quilicura ;28;1;5;8;10;2;14
En desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente Alto;27;2;4;7;3;8;16
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;VII Región del Maule;Parral;33;3;6;5;10;8;17
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XVI Región de Ñuble;Quillón;21;3;3;8;2;8;15
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;IX Región de La Araucanía;Temuco;20;3;4;3;8;2;15
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Ñuñoa;19;3;4;6;5;3;14
Muy de acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente alto;24;3;5;7;4;6;15
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Huechuraba;24;3;3;3;6;6;15
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Florida;28;4;4;6;9;3;20
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Trans/No binario;IX Región de La Araucanía;Temuco;26;4;1;4;8;3;17
Neutral;Neutral;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;V Región de Valparaíso;Quillota;17;2;3;3;10;1;11
