INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Me siento muy esperanzado por el cambio de la constitución];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el cambio constitucional es necesario para avanzar en materia de derechos y justicia social];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el acuerdo para el cambio constitucional fue justo y transparente];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Confío en que una nueva constitución nos hará un mejor país a la larga];"ANTE LA PREGUNTA ""¿QUIERE USTED UNA NUEVA CONSTITUCIÓN?"" USTED...";"ANTE LA PREGUNTA ""¿QUÉ TIPO DE ÓRGANO DEBIERA REDACTAR LA NUEVA CONSTITUCIÓN?"" USTED...";GENERO;REGIÓN DONDE VIVES;COMUNA ;EDAD;SI TUVIERAS QUE POSICIONAR TU NIVEL SOCIOECONÓMICO DIRÍAS QUE ES...;LA MEJOR FORMA DE ORGANIZACIÓN POLÍTICA ES CON UNA ORGÁNICA DE TIPO;"RESPECTO A ""LA REALIDAD"" COMO TAL, PODEMOS DECIR QUE";LA MEJOR FORMA DE ORGANIZACIÓN ECONÓMICA ES CON UN MERCADO;SI TUVIERA QUE AUTOPOSICIONARSE IDEOLÓGICAMENTE DIRÍA QUE USTED ES DE;¿CUANTOS AÑOS DE EDUCACIÓN FORMAL ACUMULA HASTA ÉSTE MOMENTO? (sumando educación básica, media, técnica, universitaria, y postgrados). 
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Cabrero;24;1;5;4;10;2;15
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Florida;24;4;1;5;7;3;17
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Conchali;25;2;1;1;10;4;17
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;HUALPEN;24;1;1;3;8;2;16
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Las Condes;23;4;6;1;8;2;17
Neutral;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Provi;18;4;2;4;7;3;13
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;24;3;2;2;8;1;18
En desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;XII Región de Magallanes y Antártica Chilena;Punta Arenas ;24;4;7;6;5;5;17
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;santiago;33;2;6;3;8;3;16
En desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Los andes;28;2;1;1;5;1;18
Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Prefiero no decirlo;Región Metropolitana de Santiago;Macul;26;3;10;8;5;4;19
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa;31;4;3;2;7;2;18
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;V Región de Valparaíso;La Ligua;23;3;3;1;6;5;16
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Independencia;34;5;5;5;5;1;16
Neutral;En desacuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Peñalolén;19;2;8;7;7;10;13
Neutral;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Estación central ;20;2;2;6;6;3;15
Neutral;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Las condes;24;4;1;4;8;1;16
En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;X Región de Los Lagos;Osorno;26;1;5;1;1;5;19
Muy de acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Peñalolen ;29;2;1;1;10;5;24
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La florida;24;2;6;10;10;3;12
Neutral;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipú;21;3;3;3;8;2;16
Neutral;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;quinta normal;27;2;4;5;8;3;16
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;quilicura;26;4;1;1;8;3;19
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;34;3;1;4;6;1;20
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Vitacura;24;4;2;4;7;3;19
De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente asalto;22;1;5;7;10;1;15
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San José de Maipo;20;3;5;8;7;3;15
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Prefiero no decirlo;Región Metropolitana de Santiago;Pudahuel;19;3;1;6;6;1;14
Neutral;Neutral;Neutral;Neutral;"VOTARÁ ""NULO O BLANCO""";"VOTARÁ ""NULO O BLANCO""";Prefiero no decirlo;I. Región de Tarapacá;La Reina;-1;1;5;5;6;6;29
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso;31;4;8;1;5;3;20
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;IV Región de Coquimbo;tongoy ;27;1;2;2;8;5;17
Muy de acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La florida;30;3;1;5;5;5;16
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;valpo;24;2;5;6;4;4;19
De acuerdo;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Reina;22;5;6;9;4;2;17
Neutral;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;Región Metropolitana de Santiago;Las condes;25;3;6;3;6;6;16
Neutral;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;Región Metropolitana de Santiago;Las condes;25;3;6;3;6;6;16
En desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Hualpen;20;2;1;6;8;5;15
Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipú ;24;5;7;10;10;1;18
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Providencia;38;3;3;3;8;3;20
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;quilicura;23;2;2;4;6;2;17
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Santiago centro;24;3;4;3;6;6;17
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;I. Región de Tarapacá;Iquique;29;3;6;10;10;3;19
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""NULO O BLANCO""";Hombre;Región Metropolitana de Santiago;Ñuñoa;53;4;1;1;8;3;19
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;La Florida ;38;3;5;2;9;3;18
Neutral;Muy de acuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Penco;31;3;3;8;6;3;17
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Providencia;18;5;3;8;3;4;12
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente Alto;20;3;5;2;10;1;14
En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipu;19;3;4;1;8;3;14
En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;ñuñoa;31;3;7;9;10;1;17
Neutral;De acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago ;22;3;1;5;8;1;16
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Providencia;38;3;3;1;8;1;22
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Hualpén;26;3;4;8;7;4;18
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Quilpué;18;3;2;2;7;4;13
De acuerdo;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente Alto;20;4;3;5;8;3;15
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;V Región de Valparaíso;Quilpue;24;3;4;5;9;4;17
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente alto;25;2;4;6;8;4;19
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Melipilla;41;2;1;4;10;2;16
De acuerdo;De acuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;San Felipe;30;2;6;1;6;5;18
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;XV Región de Arica y Parinacota;Arica;25;2;3;1;6;5;17
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;26;3;5;5;7;5;18
Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;IV Región de Coquimbo;La Serena;35;3;1;3;6;1;18
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La granja ;34;2;1;1;10;4;20
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Villa Alemana;22;5;3;5;5;3;16
En desacuerdo;En desacuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;San Joaquin;24;3;3;5;9;1;17
En desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Prefiero no decirlo;IV Región de Coquimbo;La Serena ;28;2;1;1;10;1;16
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;IX Región de La Araucanía;Temuco ;20;2;4;7;6;3;15
Neutral;De acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Talagante;22;3;7;8;3;6;17
Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Los Angeles;20;3;1;1;1;1;13
De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Chiguayante ;20;3;4;7;4;4;15
En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""NULO O BLANCO""";Hombre;V Región de Valparaíso;Viña del mar;21;2;8;8;10;2;16
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;IX Región de La Araucanía;Temuco warria;39;3;2;2;8;2;18
En desacuerdo;En desacuerdo;En desacuerdo;Neutral;"VOTARÁ ""NULO O BLANCO""";"VOTARÁ ""NULO O BLANCO""";Hombre;Región Metropolitana de Santiago;Recoleta;26;3;1;1;5;1;16
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Recoleta;28;3;7;5;7;4;18
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;macul;35;2;5;7;1;5;18
En desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Concepción;27;2;7;6;5;4;19
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Peñalolén;25;3;4;9;8;3;17
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Olmue;22;3;5;10;10;3;16
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;IX Región de La Araucanía;Padre Las Casas;49;2;5;5;8;2;13
De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;San Joaquin;22;2;3;1;8;3;14
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;San Vicente;22;3;1;3;4;3;15
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;NO IRÁ A VOTAR;NO IRÁ A VOTAR;Mujer;II Región de Antofagasta;Antofagasta;19;4;7;1;1;6;13
Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa;19;3;5;1;7;4;12
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Quinta Normal;24;4;4;6;7;3;17
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Florida;18;3;3;5;8;3;12
Neutral;Muy de acuerdo;En desacuerdo;En desacuerdo;NO IRÁ A VOTAR;NO IRÁ A VOTAR;Hombre;IV Región de Coquimbo;Ovalle ;25;3;1;2;6;1;18
De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Bernardo;24;3;4;1;7;4;17
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;X Región de Los Lagos;Osorno;26;2;5;5;10;5;19
Neutral;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa;31;3;2;5;7;3;20
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;IV Región de Coquimbo;La Serena;19;2;9;1;5;2;14
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;Región Metropolitana de Santiago;Cerrillos;38;2;1;10;5;6;18
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Chiguayante ;18;3;3;10;9;2;12
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;La Florida;73;4;6;9;8;3;18
Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Cisterna;29;2;3;6;7;3;20
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;X Región de Los Lagos;Osorno;34;2;3;5;10;5;17
De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Las condes ;52;3;7;4;8;5;20
Neutral;Muy de acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;X Región de Los Lagos;Osorno;32;3;3;10;5;3;19
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Santiago ;36;3;8;4;3;7;20
En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;NO IRÁ A VOTAR;NO IRÁ A VOTAR;Hombre;II Región de Antofagasta;Calama;26;2;9;1;9;1;19
Muy de acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa ;51;4;4;4;7;3;19
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Pintana;20;3;7;6;9;3;15
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Ñuñoa;35;3;2;2;4;4;16
De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;La.florida;53;2;7;10;10;4;12
