"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Hombre","Biobio","Hualpen",25,1,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,4,6,5,"Aprueba","CC"
"Mujer","RM","Puente alto",21,3,14,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",5,5,3,5,"Aprueba","CC"
"Hombre","Biobio","Talcahuano",26,2,18,"En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo",8,8,6,8,"Rechaza","CM"
"Mujer","RM","La Granja",24,3,18,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",2,8,3,2,"Aprueba","CC"
"Hombre","RM","Lo espejo",21,2,14,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",6,10,1,1,"Aprueba","CC"
"Hombre","RM","Colina",17,2,11,"De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",3,6,5,8,"No votara","CC"
"Hombre","Valparaiso","Valparaiso",34,1,20,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",5,6,5,1,"Aprueba","CC"
"Hombre","Biobio","Concepción ",28,2,16,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",4,6,3,5,"Aprueba","CC"
"Mujer","RM","Conchalí",25,3,16,"De acuerdo","Muy de acuerdo","En desacuerdo","Neutral",2,7,2,3,"Aprueba","CC"
"Hombre","Ohiggins","Pichilemu",27,3,17,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",4,10,2,8,"Aprueba","CC"
"Hombre","Valparaiso","Viña del Mar ",22,3,16,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",4,4,6,10,"Aprueba","CM"
"Mujer","RM","Peñalolén ",45,2,17,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,2,4,"Aprueba","Nulo o Blanco"
"Mujer","Ohiggins","Rancagua",27,3,16,"De acuerdo","Muy de acuerdo","En desacuerdo","Neutral",3,8,2,1,"Aprueba","CC"
"Mujer","Biobio","San Pedro de La Paz",27,2,17,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,8,1,2,"Aprueba","CC"
"Hombre","Valparaiso","Calle Larga",26,2,17,"Muy en desacuerdo","Neutral","Muy en desacuerdo","Muy en desacuerdo",5,1,5,7,"Rechaza","CM"
"Hombre","RM","Pudahuel",19,3,14,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",1,8,1,6,"Aprueba","CC"
"Hombre","Antofagasta","Antofagasta",22,2,15,"Neutral","De acuerdo","En desacuerdo","De acuerdo",7,8,3,9,"Aprueba","CC"
"Hombre","Atacama","copiapó",26,3,7,"Neutral","De acuerdo","En desacuerdo","De acuerdo",6,6,5,4,"Aprueba","CC"
"Hombre","Valparaiso","Quilpué",29,3,17,"Muy de acuerdo","Muy de acuerdo","Neutral","Neutral",1,6,1,8,"Aprueba","CC"
"Hombre","Ohiggins","San Vicente ",36,3,20,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",2,9,2,1,"Aprueba","CC"
"Hombre","RM","Las condes",27,3,18,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,6,3,4,"Aprueba","CC"
"Mujer","Araucania","Temuco",24,3,16,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,8,2,5,"Aprueba","CC"
"Hombre","Ohiggins","San Fernando",24,3,16,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",1,8,2,1,"Aprueba","CC"
"Mujer","RM","San Bernardo ",24,2,15,"De acuerdo","De acuerdo","De acuerdo","De acuerdo",1,10,4,10,"Aprueba","CC"
"Hombre","Antofagasta","Antofagasta",26,3,12,"De acuerdo","De acuerdo","De acuerdo","De acuerdo",5,10,5,5,"Aprueba","CC"
"Hombre","RM","Santiago",32,3,16,"Muy en desacuerdo","En desacuerdo","En desacuerdo","Muy en desacuerdo",6,6,6,6,"Rechaza","Nulo o Blanco"
"Hombre","RM","La Florida",32,2,19,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",1,10,1,1,"Aprueba","CC"
"Hombre","Valparaiso","Nogales",23,2,17,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,9,2,5,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso",18,3,12,"Neutral","De acuerdo","Neutral","De acuerdo",2,9,4,7,"Aprueba","CC"
"Hombre","RM","Quinta normal",33,2,16,"En desacuerdo","Neutral","En desacuerdo","Neutral",1,8,1,1,"Aprueba","CM"
"Hombre","Valparaiso","Villa alemana ",28,3,19,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",4,10,4,1,"Aprueba","CC"
"Hombre","Los Rios","Valdivia",32,3,18,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,1,1,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso",27,3,18,"De acuerdo","Muy de acuerdo","En desacuerdo","Neutral",3,10,3,4,"Aprueba","CC"
"Hombre","RM","Maipú",29,3,21,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",1,8,1,5,"Aprueba","CC"
"Mujer","RM","Ñuñoa ",66,3,17,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",6,10,4,7,"Aprueba","CC"
"Hombre","Valparaiso","Quilpue",29,3,17,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",2,9,1,1,"Aprueba","CC"
"Hombre","RM","Macul",31,5,20,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",7,5,3,5,"Aprueba","CC"
"Hombre","RM","Macul",19,2,12,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",2,10,1,10,"Aprueba","CC"
"Hombre","RM","Peñalolén",20,4,14,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,1,5,"Aprueba","CC"
"Hombre","RM","Macul",19,2,12,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",2,10,1,10,"Aprueba","CC"
"Hombre","Ñuble","San Ignacio ",25,2,17,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",2,8,3,5,"Aprueba","CC"
"Hombre","Ohiggins","Rancagua ",19,2,15,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",1,10,2,5,"Aprueba","CC"
"Hombre","RM","San Miguel",23,2,15,"De acuerdo","De acuerdo","Neutral","De acuerdo",8,10,2,7,"Aprueba","CC"
"Mujer","Valparaiso","Viña del mar",20,1,14,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",8,8,5,7,"Aprueba","CC"
"Hombre","RM","Pudahuel",24,2,17,"Neutral","De acuerdo","Muy en desacuerdo","De acuerdo",3,8,2,5,"Aprueba","CC"
"Hombre","Arica y Parinacota","2",29,2,22,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",1,10,1,8,"Aprueba","CC"
"Prefiero no decirlo","RM","La Florida",19,2,12,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",2,4,2,4,"Aprueba","CC"
"Mujer","RM","Macul",19,3,13,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",8,6,5,1,"Aprueba","CC"
"Hombre","Los Rios","La Unión ",23,2,13,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,8,1,3,"Aprueba","CC"
"Mujer","RM","Puente Alto",19,3,12,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",5,6,5,7,"Aprueba","CC"
"Mujer","RM","La pintana ",18,2,12,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,7,5,5,"Aprueba","CC"
"Hombre","RM","Macul",19,2,12,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",2,10,1,10,"Aprueba","CC"
"Hombre","RM","Conchalí",21,2,14,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,8,3,4,"Aprueba","CC"
"Hombre","RM","La Florida",37,3,20,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",5,10,1,10,"Aprueba","CC"
"Mujer","Los Lagos","San Juan De La Costa",22,2,17,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",3,10,2,2,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso",24,3,17,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",3,7,3,5,"Aprueba","CC"
"Hombre","Biobio","Concepción",32,3,20,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,1,8,5,"Rechaza","Nulo o Blanco"
"Mujer","RM","La florida",18,2,12,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",1,5,5,1,"Aprueba","CC"
"Mujer","RM","La florida ",17,3,12,"Neutral","Muy de acuerdo","Neutral","De acuerdo",5,4,4,1,"Aprueba","CC"
"Hombre","Coquimbo","La Serena",25,3,17,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,8,3,3,"Aprueba","CC"
"Mujer","RM","Macul",31,3,20,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",10,10,1,5,"Aprueba","CC"
"Hombre","Maule","talca",18,5,12,"Muy de acuerdo","Muy de acuerdo","Neutral","Neutral",3,6,4,7,"Aprueba","CC"
"Hombre","Ohiggins","Puente alto",16,3,10,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo",4,7,3,5,"Aprueba","CM"
"Hombre","RM","San Bernardo",24,2,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",4,6,4,5,"Aprueba","CC"
"Hombre","Ñuble","Coelemu ",23,3,17,"De acuerdo","Muy de acuerdo","En desacuerdo","Neutral",4,7,4,5,"Aprueba","CC"
"Mujer","RM","San Joaquín ",27,2,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",1,10,1,6,"Aprueba","CC"
"Hombre","Coquimbo","La Serena ",31,3,19,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",4,6,4,3,"Aprueba","CC"
"Hombre","RM","Santiago",22,3,17,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo",3,7,3,8,"Aprueba","CC"
"Hombre","RM","maipú",25,3,17,"En desacuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo",7,7,7,6,"No votara","No votara"
"Hombre","Biobio","Los angeles",28,3,20,"En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,5,5,3,"Aprueba","CC"
"Hombre","Ñuble","Coelemu",22,2,12,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,8,3,10,"Aprueba","CM"
"Hombre","Los Rios","Valdivia",37,3,20,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",1,8,1,6,"Aprueba","CC"
"Hombre","Biobio","Los Ángeles",18,2,13,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",6,7,2,1,"Aprueba","CC"
"Hombre","Ohiggins","Santa Cruz",18,3,12,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,8,3,3,"Aprueba","CC"
"Mujer","Maule","Curico",27,3,20,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,8,3,1,"Aprueba","Nulo o Blanco"
"Mujer","Valparaiso","Petorca ",27,4,19,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo",2,8,2,5,"Aprueba","CC"
"Hombre","RM","Macul",65,3,14,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,10,3,1,"Aprueba","CC"
"Hombre","RM","Providencia",28,3,19,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",2,7,3,4,"Aprueba","CC"
"Hombre","Biobio","Concep",31,4,20,"De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",4,7,3,8,"Aprueba","CC"
"Hombre","RM","Providencia",36,3,23,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",1,8,2,3,"Aprueba","CC"
"Hombre","Antofagasta","Antofagasta",30,2,20,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,8,4,8,"Aprueba","CC"
"Hombre","RM","Puente Alto",19,3,13,"Muy en desacuerdo","Neutral","Muy en desacuerdo","En desacuerdo",7,10,1,10,"No votara","No votara"
"Hombre","Valparaiso","Valparaiso ",21,3,15,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Neutral",1,10,5,1,"Aprueba","CC"
"Hombre","Biobio","Penco",25,2,19,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,8,2,6,"Aprueba","CC"
"Hombre","Araucania","Temuco",19,3,13,"De acuerdo","De acuerdo","De acuerdo","De acuerdo",4,4,6,4,"Aprueba","CC"
"Hombre","RM","Paine",22,2,16,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",2,7,1,2,"Aprueba","CC"
"Hombre","Atacama","Copiapó",17,3,12,"Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo",2,4,6,2,"Aprueba","CC"
"Hombre","RM","Peñalolén",34,2,16,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",5,7,3,9,"Aprueba","CC"
"Hombre","RM","La Pintana",21,3,14,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",7,5,5,1,"Aprueba","CC"
