"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Hombre","Valparaiso","Concón",21,3,15,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",1,7,4,5,"Aprueba","CC"
"Hombre","Valparaiso","Viña del mar",29,3,19,"Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo",1,10,1,1,"Aprueba","CC"
"Hombre","RM","Huechuraba",29,2,15,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",5,8,3,5,"Aprueba","CC"
"Hombre","RM","Ñuñoa ",31,3,20,"De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo",3,8,3,3,"Aprueba","CC"
"Hombre","Antofagasta","Calama",0,1,18,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",10,5,6,9,"Rechaza","Nulo o Blanco"
"Hombre","Coquimbo","La Serena",37,5,22,"De acuerdo","De acuerdo","Neutral","De acuerdo",4,8,4,4,"Aprueba","CC"
"Mujer","Los Lagos","Castro",25,2,17,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,9,2,5,"Aprueba","CC"
"Hombre","Maule","Parral",26,3,18,"Neutral","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,8,3,3,"Aprueba","CC"
"Hombre","Valparaiso","Viña del mar",37,3,18,"De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",3,8,2,7,"Aprueba","CM"
"Mujer","RM","Peñalolen",25,1,18,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,6,4,7,"Aprueba","CC"
"Trans/No binario","Biobio","Concepción ",20,3,13,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",1,4,3,3,"Aprueba","CC"
"Hombre","RM","Puente alto",21,1,14,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,1,1,1,"Aprueba","CC"
"Hombre","RM","ñuñoa",28,3,21,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,8,4,5,"Aprueba","CC"
"Hombre","Los Lagos","Fresia ",25,2,18,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",1,8,3,5,"Aprueba","CC"
"Hombre","RM","Pintana",27,1,21,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,6,5,6,"Aprueba","CC"
"Hombre","RM","Santiago",26,4,19,"En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo",7,4,4,10,"Aprueba","CC"
"Hombre","RM","Pudahuel",16,3,11,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,7,4,3,"Aprueba","CC"
"Hombre","RM","Quilicura ",20,2,14,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",5,10,1,4,"Aprueba","CC"
"Hombre","RM","Santiago",27,3,17,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,8,4,4,"Aprueba","CC"
"Mujer","RM","Quilicura ",28,1,14,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",5,10,2,8,"Aprueba","CC"
"Hombre","RM","Puente Alto",27,2,16,"En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo",4,3,8,7,"Aprueba","CC"
"Hombre","Maule","Parral",33,3,17,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",6,10,8,5,"Rechaza","CM"
"Hombre","Ñuble","Quillón",21,3,15,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo",3,2,8,8,"Rechaza","CC"
"Hombre","Araucania","Temuco",20,3,15,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,8,2,3,"Aprueba","CC"
"Mujer","RM","Ñuñoa",19,3,14,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",4,5,3,6,"Aprueba","CC"
"Hombre","RM","Puente alto",24,3,15,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,4,6,7,"Aprueba","CC"
"Hombre","RM","Huechuraba",24,3,15,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",3,6,6,3,"Aprueba","CC"
"Hombre","RM","La Florida",28,4,20,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",4,9,3,6,"Aprueba","CC"
"Trans/No binario","Araucania","Temuco",26,4,17,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,8,3,4,"Aprueba","CC"
"Mujer","Valparaiso","Quillota",17,2,11,"Neutral","Neutral","Muy en desacuerdo","En desacuerdo",3,10,1,3,"Aprueba","CC"
"Hombre","Ohiggins","Chimbarongo",28,3,20,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",10,10,3,10,"Aprueba","CC"
"Mujer","Maule","Teno",26,2,20,"Neutral","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,9,3,2,"Aprueba","CC"
"Mujer","Valparaiso","Concón",34,3,18,"Muy en desacuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo",3,5,4,10,"Aprueba","CC"
"Hombre","RM","Macul",21,3,15,"Neutral","De acuerdo","En desacuerdo","De acuerdo",7,8,6,4,"Rechaza","CM"
"Hombre","RM","Independencia",28,3,19,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo",7,8,1,7,"Aprueba","CC"
"Hombre","Ñuble","Chillán",28,3,18,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",2,8,2,5,"Aprueba","CC"
"Hombre","RM","Lo Prado",26,2,17,"Neutral","De acuerdo","En desacuerdo","Neutral",1,9,2,7,"Aprueba","CC"
"Hombre","Biobio","Talcahuano ",32,3,17,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,6,4,4,"Aprueba","CC"
"Hombre","Valparaiso","Viña del Mar",36,2,17,"Neutral","Neutral","Muy en desacuerdo","Neutral",1,5,2,8,"Aprueba","CC"
"Hombre","RM","San Miguel",30,2,20,"Neutral","Neutral","En desacuerdo","Neutral",7,7,1,8,"Aprueba","CC"
"Mujer","Valparaiso","Quillota",53,3,18,"Muy de acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",6,7,6,6,"Aprueba","CC"
"Hombre","RM","Ñuñoa",29,2,19,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",5,8,1,1,"Aprueba","CM"
"Mujer","Coquimbo","Los Vilos ",26,3,18,"En desacuerdo","Neutral","Muy en desacuerdo","En desacuerdo",1,10,1,1,"Aprueba","CC"
"Hombre","Ohiggins","Rancagua",25,4,14,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Neutral",6,10,1,7,"Aprueba","CC"
"Hombre","Coquimbo","La serena",32,3,17,"Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",4,9,3,1,"Aprueba","CC"
"Hombre","RM","Santiago",27,2,16,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",6,7,3,5,"Aprueba","CC"
